variant,description,topic,client,success
add-canonical,baseline + canonical link tag,rate-limits,js-fetch,1
add-canonical,baseline + canonical link tag,regions,plain-fetch,1
add-canonical,baseline + canonical link tag,regions,js-fetch,1
add-canonical,baseline + canonical link tag,auth,plain-fetch,1
add-canonical,baseline + canonical link tag,auth,js-fetch,1
add-canonical,baseline + canonical link tag,webhooks,plain-fetch,1
add-canonical,baseline + canonical link tag,webhooks,js-fetch,1
add-canonical,baseline + canonical link tag,cli,plain-fetch,1
add-canonical,baseline + canonical link tag,cli,js-fetch,1
add-og,baseline + Open Graph tags,rate-limits,plain-fetch,1
add-og,baseline + Open Graph tags,rate-limits,js-fetch,1
add-og,baseline + Open Graph tags,regions,plain-fetch,1
add-og,baseline + Open Graph tags,regions,js-fetch,1
add-og,baseline + Open Graph tags,auth,plain-fetch,1
add-og,baseline + Open Graph tags,auth,js-fetch,1
add-og,baseline + Open Graph tags,webhooks,plain-fetch,1
add-og,baseline + Open Graph tags,webhooks,js-fetch,1
add-og,baseline + Open Graph tags,cli,plain-fetch,1
add-og,baseline + Open Graph tags,cli,js-fetch,1
add-md_mirror,baseline + markdown mirror,rate-limits,plain-fetch,1
add-md_mirror,baseline + markdown mirror,rate-limits,js-fetch,1
add-md_mirror,baseline + markdown mirror,regions,plain-fetch,1
add-md_mirror,baseline + markdown mirror,regions,js-fetch,1
add-md_mirror,baseline + markdown mirror,auth,plain-fetch,1
add-md_mirror,baseline + markdown mirror,auth,js-fetch,1
add-md_mirror,baseline + markdown mirror,webhooks,plain-fetch,1
add-md_mirror,baseline + markdown mirror,webhooks,js-fetch,1
add-md_mirror,baseline + markdown mirror,cli,plain-fetch,1
add-md_mirror,baseline + markdown mirror,cli,js-fetch,1
drop-headings,baseline minus headings; answer in plain prose,rate-limits,plain-fetch,1
drop-headings,baseline minus headings; answer in plain prose,rate-limits,js-fetch,1
drop-headings,baseline minus headings; answer in plain prose,regions,plain-fetch,1
drop-headings,baseline minus headings; answer in plain prose,regions,js-fetch,1
drop-headings,baseline minus headings; answer in plain prose,auth,plain-fetch,1
drop-headings,baseline minus headings; answer in plain prose,auth,js-fetch,1
drop-headings,baseline minus headings; answer in plain prose,webhooks,plain-fetch,1
drop-headings,baseline minus headings; answer in plain prose,webhooks,js-fetch,1
drop-headings,baseline minus headings; answer in plain prose,cli,plain-fetch,1
drop-headings,baseline minus headings; answer in plain prose,cli,js-fetch,1
drop-meta_desc,baseline minus the meta description,rate-limits,plain-fetch,1
drop-meta_desc,baseline minus the meta description,rate-limits,js-fetch,1
drop-meta_desc,baseline minus the meta description,regions,plain-fetch,1
drop-meta_desc,baseline minus the meta description,regions,js-fetch,1
drop-meta_desc,baseline minus the meta description,auth,plain-fetch,1
drop-meta_desc,baseline minus the meta description,auth,js-fetch,1
drop-meta_desc,baseline minus the meta description,webhooks,plain-fetch,1
drop-meta_desc,baseline minus the meta description,webhooks,js-fetch,1
drop-meta_desc,baseline minus the meta description,cli,plain-fetch,1
drop-meta_desc,baseline minus the meta description,cli,js-fetch,1
js-only,answer only inside a JavaScript payload; empty HTML shell,rate-limits,plain-fetch,0
js-only,answer only inside a JavaScript payload; empty HTML shell,rate-limits,js-fetch,1
js-only,answer only inside a JavaScript payload; empty HTML shell,regions,plain-fetch,0
js-only,answer only inside a JavaScript payload; empty HTML shell,regions,js-fetch,1
js-only,answer only inside a JavaScript payload; empty HTML shell,auth,plain-fetch,0
js-only,answer only inside a JavaScript payload; empty HTML shell,auth,js-fetch,1
js-only,answer only inside a JavaScript payload; empty HTML shell,webhooks,plain-fetch,0
js-only,answer only inside a JavaScript payload; empty HTML shell,webhooks,js-fetch,1
js-only,answer only inside a JavaScript payload; empty HTML shell,cli,plain-fetch,0
js-only,answer only inside a JavaScript payload; empty HTML shell,cli,js-fetch,1
bot-block,returns 403 to agent user-agents,rate-limits,plain-fetch,0
bot-block,returns 403 to agent user-agents,rate-limits,js-fetch,0
bot-block,returns 403 to agent user-agents,regions,plain-fetch,0
bot-block,returns 403 to agent user-agents,regions,js-fetch,0
bot-block,returns 403 to agent user-agents,auth,plain-fetch,0
bot-block,returns 403 to agent user-agents,auth,js-fetch,0
bot-block,returns 403 to agent user-agents,webhooks,plain-fetch,0
bot-block,returns 403 to agent user-agents,webhooks,js-fetch,0
