run_id,domain,model,harness,homepage_reached,docs_reached,sitemap_reached,web_search_used,llms_txt_reached,well_known_reached,openapi_reached,agents_md_reached,homepage_first_turn,next_hop_docs,homepage_visits,docs_pages_fetched,web_fetch_calls,format_set_calls,markdown_calls,llms_txt_fetches,llms_txt_linked,well_known_fetches,well_known_linked,openapi_fetches,openapi_linked,agents_md_fetches,agents_md_linked,llms_followed_listing,answer_code_matched_fetch,answer_grounded,answer_ground_kind,site_ships_llms_txt,site_ships_openapi,site_ships_agents_md
7c728925-2442-4496-bf07-63bdc937b696,zapier.com,claude-sonnet-4-6,claude-agent-sdk,1,1,0,0,1,0,0,0,0,0,1,7,0,0,0,2,2,0,0,0,0,0,0,1,,1,docs_page,1,0,1
a9ff5f1e-87d0-4df6-b43a-7c6a811a875d,telnyx.com,claude-haiku-4-5,claude-agent-sdk,1,0,0,0,1,1,0,0,1,0,2,0,0,0,0,1,1,5,5,0,0,0,0,1,,1,site_page,1,1,1
2baa618c-6566-4f65-b97d-7f4429e5cce6,monday.com,claude-sonnet-4-6,claude-agent-sdk,1,1,0,1,0,0,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,,,1,site_page,1,1,0
eadc2597-f2e7-4cc3-bd52-86e5b24a2bae,ora.ai,claude-haiku-4-5,eve,1,1,0,0,0,1,1,1,1,1,2,2,9,0,0,0,0,1,1,1,1,1,1,,0,1,agents_md,1,1,1
8a4b9fd8-33d2-4e55-8a6e-df884945522c,attio.com,claude-sonnet-4-6,claude-agent-sdk,1,1,0,1,1,1,0,0,1,0,3,2,0,0,0,2,2,3,3,0,0,0,0,0,0,0,,1,1,1
b3fdd489-dacf-4443-89a5-34626c179d59,attio.com,claude-haiku-4-5,claude-agent-sdk,1,1,0,1,1,1,0,0,1,0,2,3,0,0,0,1,1,1,1,0,0,0,0,0,,0,,1,1,1
6e7e513c-aa79-489b-9042-0addd49fbe54,telnyx.com,claude-haiku-4-5,eve,1,1,0,0,1,0,0,0,1,1,4,7,19,19,19,1,1,0,0,0,0,0,0,0,,1,llms_txt,1,1,1
9a022cbb-41b3-4699-8582-01d3e2bb393f,ora.ai,claude-sonnet-4-6,claude-agent-sdk,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,2,2,1,1,0,1,1,agents_md,1,1,1
f871c02f-7172-4abd-af66-96a7e970a621,telnyx.com,gpt-5.4,eve,1,1,0,0,1,0,0,0,1,0,2,2,12,12,12,1,1,0,0,0,0,0,0,1,,1,docs_page,1,1,1
c2ab5cc6-2199-4ac3-871d-98250349d8fb,ora.ai,gpt-5.4,eve,1,1,1,0,1,1,1,1,1,0,1,1,4,4,4,1,1,1,1,1,1,1,1,0,,1,docs_page,1,1,1
10f615ea-0f2b-4884-8e6c-461014089371,monday.com,claude-haiku-4-5,claude-agent-sdk,1,1,0,1,0,0,0,0,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,,,1,homepage,1,1,0
9f280832-a4b9-469b-a548-9f3c9fb47865,ora.ai,gpt-5.4,eve,1,1,1,0,1,1,1,1,1,0,1,1,4,4,4,1,1,1,1,1,1,1,1,0,1,1,llms_txt,1,1,1
bf5786b5-46e2-4963-995b-546cb21491fb,monday.com,claude-haiku-4-5,eve,1,1,0,1,0,0,0,0,1,1,1,3,7,7,7,0,0,0,0,0,0,0,0,,,1,site_page,1,1,0
c30ec375-061c-481f-8fba-9775776c11aa,zapier.com,claude-haiku-4-5,claude-agent-sdk,1,1,0,1,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,,,1,site_page,1,0,1
74c3000d-4bcd-4108-8d3e-de538fb7a035,zapier.com,gpt-5.4,eve,1,1,0,0,1,0,0,0,1,1,2,8,11,11,10,1,1,0,0,0,0,0,0,1,,,,1,0,1
f327df1a-53ca-48eb-8fdc-32b651207cf1,attio.com,gpt-5.4,eve,1,1,0,0,1,0,1,0,1,1,2,10,12,12,12,1,1,0,0,1,0,0,0,0,,1,docs_page,1,1,1
973a23f0-acd5-4475-8c4b-ff5bbbb35d82,monday.com,claude-sonnet-4-6,claude-agent-sdk,1,1,0,1,0,0,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,,,1,docs_page,1,1,0
